,Country,Total electricity consumption per year,Population,Average consumption per year per capita in kWh
164,South Sudan,529,11062110,48.0
165,Jersey,600,98069,6425.0
166,Bermuda,560,63920,8759.0
167,Cayman Islands,629,64950,9687.0
168,U.S. Virgin Islands,553,106630,5188.0
169,Marshall Islands,562.40,58790,9566.0
170,Andorra,500,77140,6482.0
171,Rwanda,764,12626950,61.0
172,Burundi,339,11530580,29.0
173,Belize,568,390350,1454.0
174,Djibouti,381,973560,391.0
175,Haiti,359,11263080,32.0
176,Seychelles,403,97630,4125.0
177,Somalia,323,15442910,21.0
178,Saint Lucia,352,182790,1924.0
179,Antigua and Barbuda,314,97120,3237.0
180,Cabo Verde,455,549930,827.0
181,Eritrea,408,3213970,127.0
182,Faroe Islands,316,48680,6492.0
183,Gambia,291,2347710,124.0
184,Greenland,496,56230,8812.0
185,Liberia,348,4937370,70.0
186,Maldives,565,530950,1064.0
187,Northern Mariana Islands,200,57220,3495.0
188,Chad,213,15946880,13.0
189,Saint Kitts and Nevis,184,52830,3478.0
190,Central African Republic,140,4745190,30.0
191,Sierra Leone,242,7813220,31.0
192,Turks and Caicos Islands,186,38190,4870.0
193,Gibraltar,196,33700,5803.0
194,Grenada,198,112000,1772.0
195,"Micronesia, Federated States of",125,113810,1101.0
196,Timor-Leste,100,1293120,77.0
197,British Virgin Islands,94,30030,3145.0
198,Saint Vincent and the Grenadines,133,110590,1203.0
199,American Samoa,152,55310,2741.0
200,Samoa,124,197100,627.0
201,Equatorial Guinea,1321,1355990,975.0
202,Dominica,59.69,71810,831.0
203,Solomon Islands,98.26,669820,147.0
204,Sao Tome and Principe,80.91,215060,376.0
205,Vanuatu,65.19,299880,217.0
206,Tonga,51.15,104490,490.0
207,Saint Pierre and Miquelon,44.64,850890,7479.0
208,Comoros,93.37,850890,110.0
209,Guinea-Bissau,39.06,1920920,20.0
210,Cook Islands,38.81,9556,3308.0
211,Kiribati,27.75,117610,236.0
212,Nauru,32.55,12580,2587.0
213,Montserrat,14.88,5267,4061.0
214,Falkland Islands,18.32,2931,4759.0
215,"Saint Helena, Ascension and Tristan da Cunha",2.79,7795,3126.0
216,Niue,7.44,1190,1193.0
217,Gaza Strip,202[contradictory],1753327,0.1
