Ward Code 1,Ward Name 1,All Ages
E05000265,Wormholt and White City,"13,311"
E05000266,Alexandra,"11,327"
E05000267,Bounds Green,"14,712"
E05000268,Bruce Grove,"14,690"
E05000269,Crouch End,"11,870"
E05000270,Fortis Green,"12,447"
E05000271,Harringay,"14,299"
E05000272,Highgate,"10,453"
E05000273,Hornsey,"12,898"
E05000274,Muswell Hill,"10,310"
E05000275,Noel Park,"14,905"
E05000276,Northumberland Park,"16,302"
E05000277,St Ann's,"15,875"
E05000278,Seven Sisters,"17,850"
E05000279,Stroud Green,"10,935"
E05000280,Tottenham Green,"16,449"
E05000281,Tottenham Hale,"19,009"
E05000282,West Green,"13,242"
E05000283,White Hart Lane,"13,008"
E05000284,Woodside,"15,776"
E05000285,Belmont,"11,480"
E05000286,Canons,"13,721"
E05000287,Edgware,"12,633"
E05000288,Greenhill,"15,638"
E05000289,Harrow on the Hill,"13,205"
E05000290,Harrow Weald,"11,424"
E05000291,Hatch End,"10,414"
E05000292,Headstone North,"10,361"
E05000293,Headstone South,"12,002"
E05000294,Kenton East,"11,398"
E05000295,Kenton West,"11,155"
E05000296,Marlborough,"13,522"
E05000297,Pinner,"10,250"
E05000298,Pinner South,"10,493"
E05000299,Queensbury,"12,562"
E05000300,Rayners Lane,"11,011"
E05000301,Roxbourne,"14,228"
E05000302,Roxeth,"11,549"
E05000303,Stanmore Park,"11,910"
E05000304,Wealdstone,"12,327"
E05000305,West Harrow,"11,055"
E05000306,Brooklands,"19,112"
E05000307,Cranham,"12,973"
E05000308,Elm Park,"13,072"
E05000309,Emerson Park,"11,858"
E05000310,Gooshays,"17,443"
E05000311,Hacton,"12,374"
E05000312,Harold Wood,"15,117"
E05000313,Havering Park,"14,347"
E05000314,Heaton,"15,248"
E05000315,Hylands,"13,284"
E05000316,Mawneys,"13,848"
E05000317,Pettits,"13,253"
E05000318,Rainham and Wennington,"13,384"
E05000319,Romford Town,"18,925"
E05000320,St Andrew's,"13,819"
E05000321,South Hornchurch,"15,039"
E05000322,Squirrel's Heath,"14,295"
E05000323,Upminster,"13,260"
E05000324,Barnhill,"14,761"
E05000325,Botwell,"19,237"
E05000326,Brunel,"15,507"
E05000327,Cavendish,"11,804"
E05000328,Charville,"13,582"
E05000329,Eastcote and East Ruislip,"12,626"
E05000330,Harefield,"7,558"
E05000331,Heathrow Villages,"15,211"
E05000332,Hillingdon East,"13,651"
E05000333,Ickenham,"10,402"
E05000334,Manor,"11,618"
E05000335,Northwood,"11,263"
E05000336,Northwood Hills,"12,112"
E05000337,Pinkwell,"16,433"
E05000338,South Ruislip,"13,363"
E05000339,Townfield,"16,846"
E05000340,Uxbridge North,"15,203"
E05000341,Uxbridge South,"16,578"
E05000342,West Drayton,"19,068"
E05000343,West Ruislip,"12,222"
E05000344,Yeading,"15,185"
E05000345,Yiewsley,"14,784"
E05000346,Bedfont,"13,545"
E05000347,Brentford,"16,104"
E05000348,Chiswick Homefields,"11,232"
E05000349,Chiswick Riverside,"11,261"
E05000350,Cranford,"13,767"
E05000351,Feltham North,"12,392"
E05000352,Feltham West,"16,180"
E05000353,Hanworth,"12,891"
E05000354,Hanworth Park,"12,415"
E05000355,Heston Central,"13,117"
E05000356,Heston East,"12,758"
E05000357,Heston West,"12,968"
E05000358,Hounslow Central,"19,091"
E05000359,Hounslow Heath,"15,811"
E05000360,Hounslow South,"11,212"
E05000361,Hounslow West,"15,007"
E05000362,Isleworth,"12,508"
E05000363,Osterley and Spring Grove,"13,311"
E05000364,Syon,"14,257"
E05000365,Turnham Green,"11,940"
E05000366,Barnsbury,"14,043"
E05000367,Bunhill,"20,344"
E05000368,Caledonian,"16,689"
E05000369,Canonbury,"13,119"
E05000370,Clerkenwell,"13,820"
E05000371,Finsbury Park,"18,659"
E05000372,Highbury East,"13,917"
E05000373,Highbury West,"19,651"
E05000374,Hillrise,"12,772"
E05000375,Holloway,"20,593"
E05000376,Junction,"13,364"
E05000377,Mildmay,"14,722"
E05000378,St George's,"13,057"
E05000379,St Mary's,"13,902"
E05000380,St Peter's,"14,789"
E05000381,Tollington,"14,674"
E05000400,Alexandra,"9,862"
E05000401,Berrylands,"9,801"
E05000402,Beverley,"11,426"
E05000403,Canbury,"16,354"
E05000404,Chessington North and Hook,"9,219"
E05000405,Chessington South,"10,490"
E05000406,Coombe Hill,"12,485"
E05000407,Coombe Vale,"10,449"
E05000408,Grove,"13,773"
E05000409,Norbiton,"11,879"
E05000410,Old Malden,"9,840"
E05000411,St James,"9,420"
E05000412,St Mark's,"12,185"
E05000413,Surbiton Hill,"11,093"
E05000414,Tolworth and Hook Rise,"10,658"
E05000415,Tudor,"10,208"
E05000416,Bishop's,"13,117"
E05000417,Brixton Hill,"16,428"
E05000418,Clapham Common,"13,304"
E05000419,Clapham Town,"14,305"
E05000420,Coldharbour,"16,902"
E05000421,Ferndale,"14,336"
E05000422,Gipsy Hill,"14,269"
E05000423,Herne Hill,"15,538"
E05000424,Knight's Hill,"15,824"
E05000425,Larkhall,"17,344"
E05000426,Oval,"17,375"
E05000427,Prince's,"16,477"
E05000428,St Leonard's,"17,071"
E05000429,Stockwell,"14,962"
E05000430,Streatham Hill,"15,590"
E05000431,Streatham South,"15,130"
E05000432,Streatham Wells,"16,227"
E05000433,Thornton,"12,648"
E05000434,Thurlow Park,"13,965"
E05000435,Tulse Hill,"15,575"
E05000436,Vassall,"15,426"
E05000437,Bellingham,"16,127"
E05000438,Blackheath,"15,312"
E05000439,Brockley,"18,810"
E05000440,Catford South,"16,126"
E05000441,Crofton Park,"15,539"
E05000442,Downham,"15,679"
E05000443,Evelyn,"20,851"
E05000444,Forest Hill,"16,314"
E05000445,Grove Park,"15,326"
E05000446,Ladywell,"14,735"
E05000447,Lee Green,"16,080"
E05000448,Lewisham Central,"23,125"
E05000449,New Cross,"17,635"
E05000450,Perry Vale,"16,512"
E05000451,Rushey Green,"17,006"
