Ward Code 1,Ward Name 1,All Ages
E05004293,College,"6,026"
E05004294,Hesters Way,"6,737"
E05004295,Lansdown,"5,627"
E05004296,Leckhampton,"5,387"
E05004297,Oakley,"5,588"
E05004298,Park,"6,286"
E05004299,Pittville,"6,201"
E05004300,Prestbury,"5,482"
E05004301,St Mark's,"6,111"
E05004302,St Paul's,"6,180"
E05004303,St Peter's,"7,183"
E05004304,Springbank,"6,657"
E05004305,Swindon Village,"5,480"
E05004306,Up Hatherley,"5,057"
E05004307,Warden Hill,"5,256"
E05004430,Basing,"8,368"
E05004431,Baughurst and Tadley North,"5,170"
E05004432,Brighton Hill North,"5,226"
E05004433,Brighton Hill South,"5,398"
E05004434,Brookvale and Kings Furlong,"7,071"
E05004435,Buckskin,"7,233"
E05004436,"Burghclere, Highclere and St Mary Bourne","6,109"
E05004437,Bramley and Sherfield,"6,796"
E05004438,Chineham,"10,071"
E05004439,East Woodhay,"3,018"
E05004440,Eastrop,"6,764"
E05004441,Grove,"6,008"
E05004442,Hatch Warren and Beggarwood,"8,680"
E05004443,Kempshott,"6,530"
E05004444,Kingsclere,"4,879"
E05004445,Norden,"10,160"
E05004446,Oakley and North Waltham,"7,137"
E05004447,"Overton, Laverstoke and Steventon","5,112"
E05004448,Pamber and Silchester,"4,321"
E05004449,Popley East,"7,099"
E05004450,Popley West,"6,975"
E05004451,Rooksdown,"5,420"
E05004452,Sherborne St John,"2,777"
E05004453,South Ham,"8,879"
E05004454,Tadley Central,"2,735"
E05004455,Tadley South,"5,576"
E05004456,Upton Grey and The Candovers,"2,643"
E05004457,Whitchurch,"5,600"
E05004458,Winklebury,"6,005"
E05004516,Fareham East,"7,868"
E05004517,Fareham North,"7,660"
E05004518,Fareham North-West,"7,457"
E05004519,Fareham South,"7,662"
E05004520,Fareham West,"6,558"
E05004521,Hill Head,"7,299"
E05004522,Locks Heath,"7,024"
E05004523,Park Gate,"9,352"
E05004524,Portchester East,"11,092"
E05004525,Portchester West,"6,998"
E05004526,Sarisbury,"7,929"
E05004527,Stubbington,"6,951"
E05004528,Titchfield,"7,514"
E05004529,Titchfield Common,"7,839"
E05004530,Warsash,"7,135"
E05004531,Alverstoke,"4,349"
E05004532,Anglesey,"3,703"
E05004533,Bridgemary North,"4,658"
E05004534,Bridgemary South,"4,817"
E05004535,Brockhurst,"5,385"
E05004536,Christchurch,"5,410"
E05004537,Elson,"4,542"
E05004538,Forton,"4,653"
E05004539,Grange,"6,562"
E05004540,Hardway,"5,665"
E05004541,Lee East,"6,102"
E05004542,Lee West,"5,132"
E05004543,Leesland,"4,811"
E05004544,Peel Common,"4,237"
E05004545,Privett,"4,191"
E05004546,Rowner and Holbrook,"4,892"
E05004547,Town,"5,570"
E05004566,Barncroft,"7,003"
E05004567,Battins,"7,264"
E05004568,Bedhampton,"9,056"
E05004569,Bondfields,"7,008"
E05004570,Cowplain,"9,413"
E05004571,Emsworth,"10,110"
E05004572,Hart Plain,"10,214"
E05004573,Hayling East,"9,293"
E05004574,Hayling West,"8,529"
E05004575,Purbrook,"9,557"
E05004576,St Faith's,"10,172"
E05004577,Stakes,"10,512"
E05004578,Warren Park,"8,007"
E05004579,Waterloo,"10,201"
E05004580,"Ashurst, Copythorne South and Netley Marsh","5,650"
E05004581,Barton,"5,618"
E05004582,Bashley,"2,734"
E05004583,Becton,"4,999"
E05004584,Boldre and Sway,"5,537"
E05004585,"Bramshaw, Copythorne North and Minstead","2,496"
E05004586,Bransgore and Burley,"5,492"
E05004587,Brockenhurst and Forest South East,"6,287"
E05004588,Buckland,"3,651"
E05004589,Butts Ash and Dibden Purlieu,"6,506"
E05004590,Dibden and Hythe East,"5,722"
E05004592,"Fawley, Blackfield and Langley","5,934"
E05004593,Fernhill,"6,373"
E05004596,Furzedown and Hardley,"3,450"
E05004597,Holbury and North Blackfield,"6,705"
E05004598,Hordle,"5,639"
E05004599,Hythe West and Langdown,"6,393"
E05004600,Lymington Town,"6,346"
E05004601,Lyndhurst,"3,126"
E05004602,Marchwood,"5,986"
E05004603,Milford,"5,061"
E05004604,Milton,"6,483"
E05004605,Pennington,"6,305"
E05004606,Ringwood East and Sopley,"2,917"
E05004607,Ringwood North,"6,222"
E05004608,Ringwood South,"6,480"
E05004609,Totton Central,"5,486"
E05004610,Totton East,"6,277"
E05004611,Totton North,"6,686"
E05004612,Totton South,"6,136"
E05004613,Totton West,"5,038"
E05004691,Adeyfield East,"7,234"
E05004692,Adeyfield West,"5,688"
E05004693,Aldbury and Wigginton,"2,383"
E05004694,Apsley and Corner Hall,"10,791"
E05004695,Ashridge,"2,639"
E05004696,Bennetts End,"6,157"
E05004697,Berkhamsted Castle,"6,241"
E05004698,Berkhamsted East,"6,125"
E05004699,Berkhamsted West,"6,667"
E05004700,"Bovingdon, Flaunden and Chipperfield","9,303"
E05004701,Boxmoor,"8,437"
E05004702,Chaulden and Warners End,"9,408"
E05004703,Gadebridge,"5,779"
E05004704,Grovehill,"8,245"
E05004705,Hemel Hempstead Town,"7,348"
E05004706,Highfield,"5,845"
E05004707,Kings Langley,"5,265"
E05004708,Leverstock Green,"9,706"
E05004709,Nash Mills,"3,479"
E05004710,Northchurch,"2,850"
E05004711,Tring Central,"5,508"
E05004712,Tring East,"3,451"
E05004713,Tring West and Rural,"5,087"
E05004714,Watling,"5,764"
E05004715,Woodhall Farm,"6,057"
E05004721,Braughing,"2,612"
E05004723,Datchworth & Aston,"2,414"
E05004724,Great Amwell,"2,817"
E05004725,Hertford Bengeo,"8,106"
E05004726,Hertford Castle,"9,841"
E05004727,Hertford Heath,"3,678"
E05004728,Hertford Kingsmead,"5,998"
E05004729,Hertford Rural North,"2,282"
E05004730,Hertford Rural South,"2,617"
E05004731,Hertford Sele,"5,784"
E05004732,Hunsdon,"3,552"
E05004733,Little Hadham,"2,529"
E05004735,Much Hadham,"3,049"
E05004736,Puckeridge,"2,847"
E05004737,Sawbridgeworth,"9,132"
E05004738,Stanstead Abbots,"3,182"
E05004739,Thundridge & Standon,"3,382"
E05004741,Ware Chadwell,"3,329"
E05004742,Ware Christchurch,"5,817"
E05004743,Ware St Mary's,"5,223"
E05004744,Ware Trinity,"5,849"
E05004745,Watton-at-Stone,"2,732"
E05004761,Arbury,"2,753"
E05004762,Baldock East,"2,970"
E05004763,Baldock Town,"7,573"
E05004764,Cadwell,"2,314"
E05004765,Chesfield,"7,855"
E05004766,Codicote,"2,709"
E05004767,Ermine,"2,712"
E05004768,Hitchin Bearton,"9,024"
E05004769,Hitchin Highbury,"8,528"
E05004770,Hitchin Oughton,"5,167"
E05004771,Hitchin Priory,"4,827"
E05004772,Hitchin Walsworth,"8,448"
E05004773,"Hitchwood, Offa and Hoo","7,572"
E05004774,Kimpton,"2,139"
E05004775,Knebworth,"5,365"
E05004776,Letchworth East,"6,379"
E05004777,Letchworth Grange,"7,258"
E05004778,Letchworth South East,"7,655"
E05004779,Letchworth South West,"7,599"
E05004780,Letchworth Wilbury,"5,417"
E05004781,Royston Heath,"5,428"
E05004782,Royston Meridian,"5,533"
E05004783,Royston Palace,"6,152"
E05004784,Weston and Sandon,"2,086"
E05004785,Ashley,"8,603"
E05004786,Batchwood,"7,861"
E05004787,Clarence,"7,723"
E05004789,Cunningham,"7,004"
E05004790,Harpenden East,"8,038"
E05004791,Harpenden North,"7,958"
E05004792,Harpenden South,"6,773"
E05004793,Harpenden West,"8,238"
E05004794,London Colney,"9,687"
E05004795,Marshalswick North,"6,890"
E05004796,Marshalswick South,"7,607"
E05004797,Park Street,"7,710"
E05004798,Redbourn,"6,369"
E05004799,St Peters,"9,290"
E05004800,St Stephen,"6,664"
E05004801,Sandridge,"4,967"
E05004802,Sopwell,"7,696"
E05004803,Verulam,"7,314"
E05004804,Wheathampstead,"6,482"
E05004805,Bandley Hill,"6,637"
E05004806,Bedwell,"8,062"
E05004807,Chells,"6,817"
E05004808,Longmeadow,"5,840"
E05004810,Martins Wood,"6,315"
E05004811,Old Town,"8,543"
E05004812,Pin Green,"6,557"
E05004813,Roebuck,"6,971"
E05004814,St Nicholas,"7,795"
E05004815,Shephall,"6,457"
E05004816,Symonds Green,"6,006"
E05004817,Woodfield,"5,891"
E05004964,Central,"7,139"
E05004965,Chalk,"2,181"
E05004966,Coldharbour,"4,979"
E05004967,Higham,"3,850"
E05004968,Istead Rise,"3,363"
E05004969,Meopham North,"4,373"
E05004970,Meopham South and Vigo,"4,325"
E05004971,Northfleet North,"8,810"
E05004972,Northfleet South,"8,945"
E05004973,Painters Ash,"5,454"
E05004974,Pelham,"8,171"
E05004975,Riverside,"10,124"
E05004976,Riverview,"4,268"
E05004977,"Shorne, Cobham and Luddesdown","4,239"
E05004978,Singlewell,"8,203"
E05004979,Westcourt,"7,033"
E05004980,Whitehill,"4,477"
E05004981,Woodlands,"6,956"
E05004982,Allington,"7,496"
E05004983,Barming and Teston,"2,299"
E05004984,Bearsted,"8,362"
E05004985,Boughton Monchelsea and Chart Sutton,"2,811"
E05004986,Boxley,"8,641"
E05004987,Bridge,"6,632"
E05004989,Detling and Thurnham,"3,099"
E05004990,Downswood and Otham,"3,072"
E05004991,East,"8,932"
E05004992,Fant,"10,866"
E05004993,Harrietsham and Lenham,"6,756"
E05004994,Headcorn,"6,040"
E05004995,Heath,"7,199"
E05004996,High Street,"11,852"
E05004997,Leeds,"2,416"
E05004999,Marden and Yalding,"8,981"
E05005000,North,"10,055"
E05005001,North Downs,"2,431"
E05005002,Park Wood,"9,516"
E05005003,Shepway North,"9,225"
E05005004,Shepway South,"5,963"
E05005006,Staplehurst,"6,350"
E05005007,Sutton Valence and Langley,"3,467"
E05005010,Cowden and Hever,"2,111"
E05005011,Crockenhill and Well Hill,"1,964"
E05005012,Dunton Green and Riverhead,"6,246"
E05005013,Edenbridge North and East,"5,309"
E05005014,Edenbridge South and West,"4,652"
E05005016,"Farningham, Horton Kirby and South Darenth","5,031"
E05005017,Fawkham and West Kingsdown,"5,976"
E05005018,"Halstead, Knockholt and Badgers Mount","3,514"
E05005021,Kemsing,"4,201"
E05005026,Sevenoaks Eastern,"4,390"
E05005027,Sevenoaks Kippington,"5,346"
E05005028,Sevenoaks Northern,"4,637"
E05005029,Sevenoaks Town and St John's,"7,442"
E05005031,Swanley St Mary's,"4,675"
E05005032,Swanley White Oak,"6,505"
E05005081,Beacon Road,"4,803"
E05005082,Birchington North,"3,802"
E05005083,Birchington South,"6,436"
E05005084,Bradstowe,"4,214"
E05005085,Central Harbour,"8,470"
E05005086,Cliffsend and Pegwell,"4,672"
E05005087,Cliftonville East,"6,319"
E05005088,Cliftonville West,"10,867"
E05005089,Dane Valley,"7,954"
E05005090,Eastcliff,"8,375"
E05005091,Garlinge,"4,726"
E05005092,Kingsgate,"2,247"
E05005093,Margate Central,"6,214"
E05005094,Nethercourt,"4,745"
E05005095,Newington,"5,478"
E05005096,Northwood,"6,701"
E05005097,St Peters,"6,953"
E05005098,Salmestone,"5,862"
E05005099,Sir Moses Montefiore,"5,217"
E05005100,Thanet Villages,"7,726"
E05005101,Viking,"7,494"
E05005102,Westbrook,"4,375"
E05005103,Westgate-on-Sea,"7,808"
E05005130,Benenden and Cranbrook,"7,952"
E05005131,Brenchley and Horsmonden,"5,403"
E05005132,Broadwater,"4,769"
E05005133,Capel,"2,354"
E05005134,Culverden,"9,040"
E05005135,Frittenden and Sissinghurst,"2,270"
E05005136,Goudhurst and Lamberhurst,"4,980"
E05005137,Hawkhurst and Sandhurst,"6,507"
E05005138,Paddock Wood East,"4,065"
E05005139,Paddock Wood West,"4,108"
E05005140,Pantiles and St Mark's,"6,971"
E05005141,Park,"7,953"
E05005142,Pembury,"6,030"
E05005143,Rusthall,"4,996"
E05005144,St James',"7,141"
E05005145,St John's,"7,542"
E05005146,Sherwood,"8,336"
E05005147,Southborough and High Brooms,"8,009"
E05005148,Southborough North,"4,296"
E05005149,Speldhurst and Bidborough,"6,217"
E05005150,Bank Hall,"6,438"
E05005151,Briercliffe,"5,259"
E05005152,Brunshaw,"5,970"
E05005153,Cliviger with Worsthorne,"5,017"
E05005154,Coal Clough with Deerplay,"5,253"
E05005155,Daneshouse with Stoneyholme,"7,021"
E05005156,Gannow,"5,642"
E05005157,Gawthorpe,"6,309"
E05005158,Hapton with Park,"5,863"
E05005159,Lanehead,"6,502"
E05005160,Queensgate,"5,981"
E05005161,Rosegrove with Lowerhouse,"6,784"
E05005162,Rosehill with Burnley Wood,"6,036"
E05005163,Trinity,"5,649"
E05005164,Whittlefield with Ightenhill,"5,620"
E05005165,Adlington and Anderton,"8,205"
E05005166,Astley and Buckshaw,"8,107"
E05005167,Brindle and Hoghton,"1,924"
E05005168,Chisnall,"4,152"
E05005169,Chorley East,"7,332"
E05005170,Chorley North East,"6,515"
E05005171,Chorley North West,"6,274"
E05005172,Chorley South East,"8,185"
E05005173,Chorley South West,"9,451"
E05005174,Clayton-le-Woods and Whittle-le-Woods,"8,923"
E05005175,Clayton-le-Woods North,"7,013"
E05005176,Clayton-le-Woods West and Cuerden,"5,468"
E05005177,Coppull,"6,967"
E05005178,Eccleston and Mawdesley,"6,536"
E05005179,Euxton North,"4,752"
E05005180,Euxton South,"3,731"
E05005181,Heath Charnock and Rivington,"2,174"
E05005182,Lostock,"6,354"
E05005183,Pennine,"2,680"
E05005184,Wheelton and Withnell,"4,127"
E05005185,Ansdell,"4,354"
E05005186,Ashton,"4,447"
E05005187,Central,"4,511"
E05005188,Clifton,"3,960"
E05005189,Elswick and Little Eccleston,"1,533"
E05005190,Fairhaven,"4,124"
E05005191,Freckleton East,"3,276"
E05005192,Freckleton West,"2,724"
E05005193,Heyhouses,"5,001"
E05005194,Kilnhouse,"4,219"
E05005195,Kirkham North,"4,518"
E05005196,Kirkham South,"3,332"
E05005197,Medlar-with-Wesham,"4,372"
E05005198,Newton and Treales,"3,165"
E05005199,Park,"5,147"
E05005200,Ribby-with-Wrea,"1,798"
E05005201,St Johns,"5,084"
E05005202,St Leonards,"4,781"
E05005203,Singleton and Greenhalgh,"1,484"
E05005204,Staining and Weeton,"3,276"
E05005205,Warton and Westby,"6,105"
E05005206,Altham,"5,241"
E05005207,Barnfield,"4,453"
E05005208,Baxenden,"4,013"
E05005209,Central,"5,660"
E05005210,Church,"5,236"
E05005211,Clayton-le-Moors,"4,478"
E05005212,Huncoat,"4,704"
E05005213,Immanuel,"4,349"
E05005214,Milnshaw,"4,864"
E05005215,Netherton,"4,597"
E05005216,Overton,"6,436"
E05005217,Peel,"4,362"
E05005218,Rishton,"6,428"
E05005219,St Andrew's,"4,408"
E05005220,St Oswald's,"6,234"
E05005221,Spring Hill,"5,670"
E05005250,Barrowford,"4,868"
E05005251,Blacko and Higherford,"1,705"
E05005252,Boulsworth,"5,150"
E05005253,Bradley,"6,907"
E05005254,Brierfield,"5,566"
E05005255,Clover Hill,"5,537"
E05005256,Coates,"5,299"
E05005257,Craven,"5,553"
E05005260,Higham and Pendleside,"1,633"
E05005261,Horsfield,"4,843"
E05005262,Marsden,"3,604"
E05005263,Old Laund Booth,"1,383"
E05005264,Reedley,"5,526"
E05005265,Southfield,"7,002"
E05005266,Vivary Bridge,"5,968"
E05005267,Walverden,"4,104"
E05005268,Waterside,"5,173"
E05005269,Whitefield,"4,553"
E05005316,Cribden,"3,948"
E05005317,Eden,"3,635"
E05005318,Facit and Shawforth,"3,838"
E05005319,Goodshaw,"4,127"
E05005320,Greenfield,"5,818"
E05005321,Greensclough,"6,025"
E05005322,Hareholme,"5,822"
E05005323,Healey and Whitworth,"4,016"
E05005324,Helmshore,"6,101"
E05005325,Irwell,"6,228"
E05005326,Longholme,"5,856"
E05005327,Stacksteads,"3,946"
E05005328,Whitewell,"5,879"
E05005329,Worsley,"6,193"
E05005357,Ashurst,"6,331"
E05005358,Aughton and Downholland,"5,456"
E05005359,Aughton Park,"3,749"
E05005360,Birch Green,"4,326"
E05005361,Burscough East,"4,463"
E05005362,Burscough West,"4,800"
E05005363,Derby,"8,955"
E05005364,Digmoor,"4,729"
E05005365,Halsall,"2,064"
E05005366,Hesketh-with-Becconsall,"3,947"
E05005367,Knowsley,"5,564"
E05005368,Moorside,"3,922"
E05005369,North Meols,"4,589"
E05005370,Parbold,"3,780"
E05005371,Rufford,"2,049"
E05005372,Scarisbrick,"4,067"
E05005373,Scott,"5,912"
E05005374,Skelmersdale North,"4,056"
E05005375,Skelmersdale South,"6,405"
E05005376,Tanhouse,"5,341"
E05005377,Tarleton,"5,792"
E05005378,Up Holland,"6,380"
E05005379,Wrightington,"3,947"
E05005380,Bickerstaffe,"1,969"
E05005381,Newburgh,"1,903"
E05005408,Blaby South,"5,184"
E05005409,Cosby with South Whetstone,"5,500"
E05005410,Countesthorpe,"7,759"
E05005411,Croft Hill,"2,406"
E05005412,Ellis,"5,876"
E05005413,Enderby and St John's,"5,830"
E05005414,Fairestone,"4,797"
E05005416,Millfield,"2,890"
E05005417,Muxloe,"4,280"
E05005418,Narborough and Littlethorpe,"5,268"
E05005419,Normanton,"2,962"
E05005420,North Whetstone,"5,476"
E05005421,Pastures,"4,933"
E05005422,Ravenhurst and Fosse,"7,049"
E05005423,Saxondale,"7,454"
E05005424,Stanton and Flamville,"8,854"
E05005426,Anstey,"7,578"
E05005427,Barrow and Sileby West,"7,428"
E05005428,Birstall Wanlip,"7,686"
E05005429,Birstall Watermead,"6,663"
E05005430,East Goscote,"2,843"
E05005431,Forest Bradgate,"3,760"
E05005432,Loughborough Ashby,"8,289"
E05005433,Loughborough Dishley and Hathern,"6,653"
E05005434,Loughborough Garendon,"5,692"
E05005435,Loughborough Hastings,"6,862"
E05005436,Loughborough Lemyngton,"7,753"
E05005437,Loughborough Nanpantan,"5,674"
E05005438,Loughborough Outwoods,"5,873"
E05005439,Loughborough Shelthorpe,"9,552"
E05005440,Loughborough Southfields,"8,199"
E05005441,Loughborough Storer,"6,782"
E05005442,Mountsorrel,"7,229"
E05005443,Queniborough,"4,535"
E05005444,Quorn and Mountsorrel Castle,"7,432"
E05005445,Rothley and Thurcaston,"7,833"
E05005446,Shepshed East,"6,709"
E05005447,Shepshed West,"7,595"
E05005448,Sileby,"8,617"
E05005449,Syston East,"7,529"
E05005450,Syston West,"6,781"
E05005451,The Wolds,"3,285"
E05005452,Thurmaston,"10,326"
E05005453,Wreake Villages,"3,258"
E05005479,Ambien,"3,804"
E05005480,"Barlestone, Nailstone and Osbaston","3,330"
E05005481,Barwell,"9,243"
E05005482,Burbage St Catherines and Lash Hill,"5,853"
E05005483,Burbage Sketchley and Stretton,"10,005"
E05005484,"Cadeby, Carlton and Market Bosworth with Shackerstone","3,842"
E05005485,Earl Shilton,"10,942"
E05005486,Groby,"6,874"
E05005487,Hinckley Castle,"6,703"
E05005488,Hinckley Clarendon,"9,663"
E05005489,Hinckley De Montfort,"10,443"
E05005490,Hinckley Trinity,"7,186"
E05005491,"Markfield, Stanton and Fieldhead","6,044"
E05005492,Newbold Verdon with Desford and Peckleton,"8,765"
E05005493,"Ratby, Bagworth and Thornton","7,801"
E05005494,Twycross and Witherley with Sheepy,"3,168"
E05005495,Asfordby,"3,406"
E05005496,Bottesford,"3,543"
E05005497,Croxton Kerrial,"1,813"
E05005498,Frisby-on-the-Wreake,"1,891"
E05005499,Gaddesby,"1,745"
E05005500,Long Clawson and Stathern,"4,358"
E05005501,Melton Craven,"3,479"
E05005502,Melton Dorian,"5,512"
E05005503,Melton Egerton,"4,236"
E05005504,Melton Newport,"5,416"
E05005505,Melton Sysonby,"5,421"
E05005506,Melton Warwick,"3,618"
E05005507,Old Dalby,"1,993"
E05005508,Somerby,"1,808"
E05005509,Waltham-on-the-Wolds,"1,661"
E05005510,Wymondham,"1,494"
E05005531,Oadby Brocks Hill,"4,173"
E05005532,Oadby Grange,"6,126"
E05005533,Oadby St Peter's,"4,584"
E05005534,Oadby Uplands,"4,527"
E05005535,Oadby Woodlands,"4,928"
E05005536,South Wigston,"8,029"
E05005537,Wigston All Saints,"5,681"
E05005538,Wigston Fields,"6,720"
E05005539,Wigston Meadowcourt,"6,006"
E05005540,Wigston St Wolstan's,"6,539"
E05005618,Ashby de la Launde and Cranwell,"6,034"
E05005619,Bassingham and Brant Broughton,"5,191"
E05005620,"Billinghay, Martin and North Kyme","5,286"
E05005621,Bracebridge Heath and Waddington East,"10,398"
E05005622,Branston,"5,299"
E05005623,Cliff Villages,"5,548"
E05005624,"Eagle, Swinderby and Witham St Hughs","7,010"
E05005625,Heckington Rural,"5,649"
E05005626,Heighington and Washingborough,"7,210"
E05005627,Kirkby la Thorpe and South Kyme,"2,490"
E05005628,Leasingham and Rauceby,"2,050"
E05005629,Metheringham,"5,547"
E05005630,North Hykeham Forum,"1,916"
E05005631,North Hykeham Memorial,"3,477"
E05005632,North Hykeham Mill,"6,368"
E05005633,North Hykeham Moor,"2,620"
E05005634,North Hykeham Witham,"2,207"
E05005635,Osbournby,"2,484"
E05005636,Ruskington,"5,606"
E05005637,Skellingthorpe,"3,480"
E05005638,Sleaford Castle,"2,769"
E05005639,Sleaford Holdingham,"3,673"
E05005640,Sleaford Navigation,"2,557"
E05005641,Sleaford Quarrington and Mareham,"7,791"
E05005642,Sleaford Westholme,"3,014"
E05005643,Waddington West,"2,475"
E05005644,Crowland and Deeping St Nicholas,"6,876"
E05005645,"Donington, Quadring and Gosberton","7,235"
E05005646,Fleet,"2,298"
E05005647,Gedney,"2,391"
E05005648,Holbeach Hurn,"2,237"
E05005649,Holbeach Town,"7,790"
E05005650,Long Sutton,"7,387"
E05005651,"Moulton, Weston and Cowbit","6,967"
E05005652,Pinchbeck and Surfleet,"7,473"
E05005653,Spalding Castle,"2,691"
E05005654,Spalding Monks House,"5,846"
E05005655,Spalding St John's,"7,218"
E05005656,Spalding St Mary's,"4,776"
E05005657,Spalding St Paul's,"6,248"
E05005658,Spalding Wygate,"6,718"
E05005659,Sutton Bridge,"4,626"
E05005660,The Saints,"2,592"
E05005661,Whaplode and Holbeach St John's,"4,488"
E05005757,Acle,"2,834"
E05005758,Aylsham,"8,906"
E05005759,Blofield with South Walsham,"6,225"
E05005760,Brundall,"6,315"
E05005761,Burlingham,"2,774"
E05005762,Buxton,"2,794"
E05005763,Coltishall,"2,843"
E05005764,Drayton North,"2,866"
E05005765,Drayton South,"2,468"
E05005766,Eynesford,"3,221"
E05005767,Great Witchingham,"2,820"
E05005768,Hellesdon North West,"5,889"
E05005769,Hellesdon South East,"5,574"
E05005770,Hevingham,"3,048"
E05005771,Horsford and Felthorpe,"5,567"
E05005772,Marshes,"3,257"
E05005773,Old Catton and Sprowston West,"8,531"
E05005774,Plumstead,"3,572"
E05005775,Reepham,"2,684"
E05005776,Spixworth with St Faiths,"5,422"
E05005777,Sprowston Central,"5,421"
E05005778,Sprowston East,"8,716"
E05005779,Taverham North,"5,607"
E05005780,Taverham South,"4,487"
E05005781,Thorpe St Andrew North West,"7,332"
E05005782,Thorpe St Andrew South East,"7,225"
E05005783,Wroxham,"5,533"
E05005784,Bradwell North,"6,355"
E05005785,Bradwell South and Hopton,"7,307"
E05005786,Caister North,"4,382"
E05005787,Caister South,"4,592"
E05005788,Central and Northgate,"8,853"
E05005789,Claydon,"7,605"
E05005790,East Flegg,"4,809"
E05005791,Fleggburgh,"2,525"
E05005792,Gorleston,"5,249"
E05005793,Lothingland,"5,222"
E05005794,Magdalen,"7,530"
E05005795,Nelson,"9,608"
E05005796,Ormesby,"4,313"
E05005797,St Andrews,"5,304"
E05005798,Southtown and Cobholm,"5,931"
E05005799,West Flegg,"5,039"
E05005800,Yarmouth North,"4,574"
E05005965,Barnwell,"2,024"
E05005966,Fineshade,"2,208"
E05005971,King's Forest,"2,362"
E05005972,Lower Nene,"2,115"
E05005973,Lyveden,"2,041"
E05005974,Oundle,"6,957"
E05005975,Prebendal,"2,347"
E05005982,Rushden Spencer,"6,412"
E05005986,Woodford,"2,150"
E05005987,All Saints,"8,697"
E05005988,Avondale Grange,"5,766"
E05005989,Barton,"5,899"
E05005991,Burton Latimer,"9,997"
E05005992,Desborough Loatland,"6,836"
E05005993,Desborough St Giles,"4,712"
E05005994,Ise Lodge,"7,776"
E05005995,Northfield,"2,921"
E05005996,Pipers Hill,"5,677"
E05005998,Rothwell,"8,229"
E05005999,St Michael's and Wicksteed,"8,116"
E05006000,St Peter's,"5,425"
E05006001,Slade,"6,301"
E05006002,Welland,"2,681"
E05006003,William Knibb,"5,950"
E05006027,Astwell,"2,090"
E05006028,Blakesley and Cote,"3,547"
E05006029,Blisworth and Roade,"5,263"
E05006030,Brackley East,"6,882"
E05006031,Brackley South,"4,512"
E05006032,Brackley West,"4,381"
E05006033,Brafield and Yardley,"4,014"
E05006034,Cosgrove and Grafton,"2,166"
E05006035,Danvers and Wardoun,"3,603"
E05006036,Deanshanger,"4,430"
E05006037,Grange Park,"5,020"
E05006038,Hackleton,"2,960"
E05006039,Harpole and Grange,"4,576"
E05006040,Heyfords and Bugbrooke,"4,672"
E05006041,Kings Sutton,"2,461"
E05006042,Kingthorn,"1,826"
E05006043,Little Brook,"2,260"
E05006044,Middleton Cheney,"4,318"
E05006045,Old Stratford,"2,346"
E05006046,Salcey,"2,483"
E05006047,Silverstone,"2,699"
E05006048,Steane,"2,015"
E05006049,Tove,"1,874"
E05006050,Towcester Brook,"7,018"
E05006051,Towcester Mill,"3,937"
E05006052,Washington,"1,903"
E05006053,Whittlewood,"2,236"
E05006191,Bentham,"3,590"
E05006198,Ingleton and Clapham,"3,875"
E05006203,Skipton South,"3,807"
E05006206,Upper Wharfedale,"1,853"
E05006297,Amotherby,"1,949"
E05006298,Ampleforth,"1,892"
E05006299,Cropton,"1,643"
E05006300,Dales,"1,324"
E05006301,Derwent,"3,487"
E05006302,Helmsley,"3,401"
E05006303,Hovingham,"1,793"
E05006304,Kirkbymoorside,"3,509"
E05006305,Malton,"6,189"
E05006306,Norton East,"4,827"
E05006307,Norton West,"3,609"
E05006308,Pickering East,"3,641"
E05006309,Pickering West,"3,597"
E05006310,Rillington,"1,875"
E05006311,Ryedale South West,"1,738"
E05006312,Sherburn,"2,075"
E05006313,Sheriff Hutton,"1,817"
E05006314,Sinnington,"1,742"
E05006315,Thornton Dale,"3,537"
E05006316,Wolds,"1,984"
E05006377,Beckingham,"2,486"
E05006378,Blyth,"2,254"
E05006379,Carlton,"5,611"
E05006380,Clayworth,"1,891"
E05006381,East Markham,"2,672"
E05006382,East Retford East,"7,169"
E05006383,East Retford North,"6,391"
E05006384,East Retford South,"5,044"
E05006385,East Retford West,"5,245"
E05006386,Everton,"2,643"
E05006387,Harworth,"8,683"
E05006388,Langold,"2,617"
E05006389,Misterton,"2,469"
E05006390,Rampton,"2,273"
E05006391,Ranskill,"2,353"
E05006392,Sturton,"2,370"
E05006393,Sutton,"2,965"
E05006394,Tuxford and Trent,"4,489"
E05006395,Welbeck,"1,982"
E05006396,Worksop East,"6,523"
E05006397,Worksop North,"9,476"
E05006398,Worksop North East,"6,161"
E05006399,Worksop North West,"8,412"
E05006400,Worksop South,"7,283"
E05006401,Worksop South East,"8,818"
E05006545,Barton and Sandhills,"6,926"
E05006546,Blackbird Leys,"5,567"
E05006547,Carfax,"7,360"
E05006548,Churchill,"7,055"
E05006549,Cowley,"6,168"
E05006550,Cowley Marsh,"6,465"
E05006551,Headington,"6,244"
E05006552,Headington Hill and Northway,"10,210"
E05006553,Hinksey Park,"5,382"
E05006554,Holywell,"6,517"
E05006555,Iffley Fields,"4,920"
E05006556,Jericho and Osney,"6,816"
E05006557,Littlemore,"6,326"
E05006558,Lye Valley,"7,115"
E05006559,Marston,"6,093"
E05006560,North,"5,980"
E05006561,Northfield Brook,"6,141"
E05006562,Quarry and Risinghurst,"5,786"
E05006563,Rose Hill and Iffley,"6,209"
