siec,geo,TIME_PERIOD,OBS_VALUE
TOTAL,Slovenia,2002,14598.062
TOTAL,Slovenia,2003,13820.446
TOTAL,Slovenia,2004,15271.241
TOTAL,Slovenia,2005,15116.345
TOTAL,Slovenia,2006,15113.206
TOTAL,Slovenia,2007,15043.496
TOTAL,Slovenia,2008,16398.019
TOTAL,Slovenia,2009,16403.179
TOTAL,Slovenia,2010,16438.25
TOTAL,Slovenia,2011,16057.989
TOTAL,Slovenia,2012,15736.032
TOTAL,Slovenia,2013,16102.815
TOTAL,Slovenia,2014,17437.741
TOTAL,Slovenia,2015,15099.622
TOTAL,Slovenia,2016,16501.868
TOTAL,Slovenia,2017,16326.225
TOTAL,Slovenia,2018,16326.935
TOTAL,Slovenia,2019,16099.564
TOTAL,Slovenia,2020,17190.698
TOTAL,Slovenia,2021,15876.922
Ratio,Slovenia,1990,0.371423979
Ratio,Slovenia,1991,0.388575016
Ratio,Slovenia,1992,0.32169475
Ratio,Slovenia,1993,0.331156873
Ratio,Slovenia,1994,0.357425359
Ratio,Slovenia,1995,0.370092155
Ratio,Slovenia,1996,0.355901049
Ratio,Slovenia,1997,0.380919854
Ratio,Slovenia,1998,0.367278555
Ratio,Slovenia,1999,0.354094405
Ratio,Slovenia,2000,0.349445273
Ratio,Slovenia,2001,0.363412335
Ratio,Slovenia,2002,0.378680403
Ratio,Slovenia,2003,0.376760634
Ratio,Slovenia,2004,0.357469311
Ratio,Slovenia,2005,0.389247533
Ratio,Slovenia,2006,0.367096167
Ratio,Slovenia,2007,0.378568918
Ratio,Slovenia,2008,0.382546209
Ratio,Slovenia,2009,0.349871205
Ratio,Slovenia,2010,0.344136389
Ratio,Slovenia,2011,0.387034765
Ratio,Slovenia,2012,0.351295676
Ratio,Slovenia,2013,0.329134999
Ratio,Slovenia,2014,0.365299611
Ratio,Slovenia,2015,0.374049099
Ratio,Slovenia,2016,0.346324428
Ratio,Slovenia,2017,0.384980116
Ratio,Slovenia,2018,0.353798126
Ratio,Slovenia,2019,0.36157855
Ratio,Slovenia,2020,0.369546716
Ratio,Slovenia,2021,0.359386473
Nuclear Heat,Slovakia,1990,12036
Nuclear Heat,Slovakia,1991,11689
Nuclear Heat,Slovakia,1992,11050
Nuclear Heat,Slovakia,1993,11486
Nuclear Heat,Slovakia,1994,12595
Nuclear Heat,Slovakia,1995,11437
Nuclear Heat,Slovakia,1996,11249
Nuclear Heat,Slovakia,1997,11073
Nuclear Heat,Slovakia,1998,11394
Nuclear Heat,Slovakia,1999,13117
Nuclear Heat,Slovakia,2000,16494
Nuclear Heat,Slovakia,2001,17103
Nuclear Heat,Slovakia,2002,17953
Nuclear Heat,Slovakia,2003,17864
Nuclear Heat,Slovakia,2004,17026
Nuclear Heat,Slovakia,2005,17727
Nuclear Heat,Slovakia,2006,18012
Nuclear Heat,Slovakia,2007,15334
Nuclear Heat,Slovakia,2008,16703
Nuclear Heat,Slovakia,2009,14081
Nuclear Heat,Slovakia,2010,14574
Nuclear Heat,Slovakia,2011,15411
Nuclear Heat,Slovakia,2012,15495
Nuclear Heat,Slovakia,2013,15720
Nuclear Heat,Slovakia,2014,15499
Nuclear Heat,Slovakia,2015,15146
Nuclear Heat,Slovakia,2016,14774
Nuclear Heat,Slovakia,2017,15081
Nuclear Heat,Slovakia,2018,14843
Nuclear Heat,Slovakia,2019,15282
Nuclear Heat,Slovakia,2020,15444
Nuclear Heat,Slovakia,2021,15730
TOTAL,Slovakia,1990,26132
TOTAL,Slovakia,1991,24747
TOTAL,Slovakia,1992,23627
TOTAL,Slovakia,1993,24442
TOTAL,Slovakia,1994,25712.167
TOTAL,Slovakia,1995,26774.334
TOTAL,Slovakia,1996,25760.167
TOTAL,Slovakia,1997,25347
TOTAL,Slovakia,1998,26032
TOTAL,Slovakia,1999,28407
TOTAL,Slovakia,2000,31158
TOTAL,Slovakia,2001,32026.4
TOTAL,Slovakia,2002,32407
TOTAL,Slovakia,2003,31158
TOTAL,Slovakia,2004,30547
TOTAL,Slovakia,2005,31435
TOTAL,Slovakia,2006,31368.314
TOTAL,Slovakia,2007,28005
TOTAL,Slovakia,2008,28923.332
TOTAL,Slovakia,2009,26115.561
TOTAL,Slovakia,2010,27817.942
TOTAL,Slovakia,2011,28578.187
TOTAL,Slovakia,2012,28595
TOTAL,Slovakia,2013,28763
TOTAL,Slovakia,2014,27283
TOTAL,Slovakia,2015,26803
TOTAL,Slovakia,2016,26934
TOTAL,Slovakia,2017,27583
TOTAL,Slovakia,2018,26855
TOTAL,Slovakia,2019,28401
TOTAL,Slovakia,2020,28807
TOTAL,Slovakia,2021,30251
Ratio,Slovakia,1990,0.460584724
Ratio,Slovakia,1991,0.472340082
Ratio,Slovakia,1992,0.467685275
Ratio,Slovakia,1993,0.469928811
Ratio,Slovakia,1994,0.489845916
Ratio,Slovakia,1995,0.427162819
Ratio,Slovakia,1996,0.436681952
Ratio,Slovakia,1997,0.436856433
Ratio,Slovakia,1998,0.437692071
Ratio,Slovakia,1999,0.461752385
Ratio,Slovakia,2000,0.529366455
Ratio,Slovakia,2001,0.534028177
Ratio,Slovakia,2002,0.55398525
Ratio,Slovakia,2003,0.573335901
Ratio,Slovakia,2004,0.557370609
Ratio,Slovakia,2005,0.563925561
Ratio,Slovakia,2006,0.574210013
Ratio,Slovakia,2007,0.547545081
Ratio,Slovakia,2008,0.577492247
Ratio,Slovakia,2009,0.539180453
Ratio,Slovakia,2010,0.523906477
Ratio,Slovakia,2011,0.539257441
Ratio,Slovakia,2012,0.541877951
Ratio,Slovakia,2013,0.54653548
Ratio,Slovakia,2014,0.568082689
Ratio,Slovakia,2015,0.565085998
Ratio,Slovakia,2016,0.548526027
Ratio,Slovakia,2017,0.54674981
Ratio,Slovakia,2018,0.552708993
Ratio,Slovakia,2019,0.538079645
Ratio,Slovakia,2020,0.536119693
Ratio,Slovakia,2021,0.51998281
Nuclear Heat,UK,1990,65749
Nuclear Heat,UK,1991,70543
Nuclear Heat,UK,1992,76807
Nuclear Heat,UK,1993,89353
Nuclear Heat,UK,1994,88282
Nuclear Heat,UK,1995,88964
Nuclear Heat,UK,1996,94671
Nuclear Heat,UK,1997,98146
Nuclear Heat,UK,1998,99486
Nuclear Heat,UK,1999,95133
Nuclear Heat,UK,2000,85063
Nuclear Heat,UK,2001,90094
Nuclear Heat,UK,2002,87848
Nuclear Heat,UK,2003,88686
Nuclear Heat,UK,2004,79999
Nuclear Heat,UK,2005,81618
Nuclear Heat,UK,2006,75451
Nuclear Heat,UK,2007,63028
Nuclear Heat,UK,2008,52486
Nuclear Heat,UK,2009,69098
Nuclear Heat,UK,2010,62140
Nuclear Heat,UK,2011,68980
Nuclear Heat,UK,2012,70405
Nuclear Heat,UK,2013,70607
Nuclear Heat,UK,2014,63748
Nuclear Heat,UK,2015,70344.902
Nuclear Heat,UK,2016,71726.081
Nuclear Heat,UK,2017,70336.426
Nuclear Heat,UK,2018,65063.849
Nuclear Heat,UK,2019,56183.934
TOTAL,UK,1990,319737
TOTAL,UK,1991,322875
TOTAL,UK,1992,321043
TOTAL,UK,1993,323102
TOTAL,UK,1994,326487
TOTAL,UK,1995,334041
TOTAL,UK,1996,350869
TOTAL,UK,1997,350666
TOTAL,UK,1998,362703
TOTAL,UK,1999,368152
TOTAL,UK,2000,377069
TOTAL,UK,2001,384789.92
TOTAL,UK,2002,387245.092
TOTAL,UK,2003,398200.378
TOTAL,UK,2004,393927.966
TOTAL,UK,2005,398354.743
TOTAL,UK,2006,397284.054
TOTAL,UK,2007,396832.515
TOTAL,UK,2008,388920.18
TOTAL,UK,2009,376755.153
TOTAL,UK,2010,382069.873
TOTAL,UK,2011,367984.059
TOTAL,UK,2012,363878.834
TOTAL,UK,2013,358289.249
TOTAL,UK,2014,338100.664
TOTAL,UK,2015,338086.412
TOTAL,UK,2016,339217.123
TOTAL,UK,2017,337976.878
TOTAL,UK,2018,333002.678
TOTAL,UK,2019,323431.769
Ratio,UK,1990,0.205634631
Ratio,UK,1991,0.218483933
Ratio,UK,1992,0.239242095
Ratio,UK,1993,0.276547344
Ratio,UK,1994,0.27039974
Ratio,UK,1995,0.266326589
Ratio,UK,1996,0.26981865
Ratio,UK,1997,0.279884563
Ratio,UK,1998,0.274290535
Ratio,UK,1999,0.258406854
Ratio,UK,2000,0.225590011
Ratio,UK,2001,0.23413815
Ratio,UK,2002,0.226853747
Ratio,UK,2003,0.222717016
Ratio,UK,2004,0.203080276
Ratio,UK,2005,0.204887732
Ratio,UK,2006,0.189917011
Ratio,UK,2007,0.158827711
Ratio,UK,2008,0.134953141
Ratio,UK,2009,0.183402933
Ratio,UK,2010,0.162640408
Ratio,UK,2011,0.187453772
Ratio,UK,2012,0.193484736
Ratio,UK,2013,0.197067035
Ratio,UK,2014,0.188547397
Ratio,UK,2015,0.208067818
Ratio,UK,2016,0.211445933
Ratio,UK,2017,0.208110171
Ratio,UK,2018,0.195385363
Ratio,UK,2019,0.173711859
